clang,debug.c,519,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:519,32,167,3,5,0.6
codeql,term.h,991,cpp/conversion-changes-sign:991-cpp/conversion-changes-sign:992,6,17,2,5,0.4
codeql,term.h,797,cpp/conversion-changes-sign:797,2,9,1,5,0.2
codeql,std_io.c,259,cpp/conversion-changes-sign:259,4,47,2,5,0.4
codeql,core.c,2154,cpp/memory-may-not-be-freed:2154,4,83,2,5,0.4
codeql,vm.c,933,cpp/memory-may-not-be-freed:933,22,467,3,5,0.6
codeql-clang,value.c,31,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:31-cpp/conversion-changes-sign:31,1,1,2,5,0.4
flawfinder,compiler.c,1365,buffer/strlen:1365,1,5,1,5,0.2
flawfinder-clang,cJSON.c,578,buffer/sprintf:578-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:578,6,23,3,5,0.6
semgrep-clang,public.c,96,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:97-c.lang.security.insecure-use-memset.insecure-use-memset:97,1,12,2,5,0.4
flawfinder-clang,cJSON.c,127,buffer/sprintf:127-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:127,1,2,2,5,0.4
codeql,compiler.c,2498,cpp/conversion-changes-sign:2501,1,5,1,5,0.2
codeql,compiler.c,863,cpp/conversion-changes-sign:885,2,62,1,5,0.2
codeql,vm.c,1427,cpp/equality-on-floats:1432,22,467,3,5,0.6
codeql,core.c,928,cpp/memory-may-not-be-freed:928,1,7,1,5,0.2
codeql,value.c,1449,cpp/equality-on-floats:1449,1,28,1,5,0.2
codeql,public.c,1018,cpp/memory-may-not-be-freed:1019,2,27,1,5,0.2
codeql,public.c,383,cpp/memory-may-not-be-freed:383,4,39,2,5,0.4
codeql,value.c,1291,cpp/conversion-changes-sign:1293,2,11,1,5,0.2
codeql,core.c,194,cpp/memory-may-not-be-freed:194,2,27,1,5,0.2
codeql,core.c,842,cpp/memory-may-not-be-freed:842,1,14,1,5,0.2
codeql-flawfinder,std_time.c,38,cpp/return-value-ignored:39-obsolete/usleep:46-cpp/conditionally-uninitialized-variable:39,2,4,2,5,0.4
